title,price,location_city,location_state,id,url,photo_url,miles
"Electric scooter","$100","Murrieta","CA","4149302548648197","https://www.facebook.com/marketplace/item/4149302548648197","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/484950567_1644446039509048_7581270767392951145_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=0VP0lO21loQQ7kNvwH3v9TQ&_nc_oc=AdnZOgri0FPbVw7jo9iqtd7fqd2idBH-xoWiWaQkM551IQAtfL5ypSWODxt0MnOqWDaZSQz1n-gCseue4u0JV974&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfR70LUqpSFaLy4VibzXWSyoER2rKs4hA-2nWmyuDSzRXw&oe=689111B5","N/A"
"Gotrax electric scooter (great Condition)","$80","Lemon Grove","CA","1018089850259991","https://www.facebook.com/marketplace/item/1018089850259991","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/491358512_968049065125259_3994635771849960034_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=tmNakvD5i3IQ7kNvwGWCuMq&_nc_oc=AdmwUNXkW_9RnrUcKOrR3mJ3BLehcWDGpVCJ5Zst1lwNTjFQ-xjzjwZWN2q_dV82EDonWrX-xVCcNOp13kdbXOnT&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfRYW_X5Xb5Uz4I5E_lUgzhE-PZP0sIZlq-MYZr-Wc97-Q&oe=689116BF","N/A"
"Scooter nuevo en caja $$ 80","$80","Compton","CA","1463389298006252","https://www.facebook.com/marketplace/item/1463389298006252","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/525726542_1211238497682996_3826562516747172845_n.jpg?stp=c0.42.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=9HmVuo4esZQQ7kNvwHVpq81&_nc_oc=AdnxXZwh4go3aB_2QqPxFagxAkEioDMslCFNbBsGQgubOIvHxJ_PaAEqx5Bb0GmHNuLU9vos0AqZm6YdBjLUlQ5H&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfQPxV6VGCR4y-DUHLWz4_HjmYpypDZwasEb-b6-iYlYEA&oe=6891038E","N/A"
"Scooter","$20","Escondido","CA","1408210903592273","https://www.facebook.com/marketplace/item/1408210903592273","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/518254169_3968387916757775_4271960863899077273_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=R6pTfaLGcmIQ7kNvwEbe5Vf&_nc_oc=AdkAw-N9OmiPkyTEALCG9j5gIfDHyOO8mxudqordcCCFKoP1QsKvvDeF22bmO68uEdpcaz6PQACyupkaV40AbE_W&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfTeTtlXHK2yclM9CdthASLMt8BK-oPNdrKUgmqYpxDJtA&oe=68910940","N/A"
"Razor scooter","$75","San Diego","CA","976070334532138","https://www.facebook.com/marketplace/item/976070334532138","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/503978880_1746144949270802_8218757277642446853_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=mhQAIoNM1p8Q7kNvwGJJ1HW&_nc_oc=AdmuNGx7HW25wp1JSP0mFeI0I689QpzCt-9i5Ti0yre8xhYct7ei9_ULCejLV60U0GaR7mHcfObT5KpHyYF0dIl5&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfSHnxFuELqTU6aso4R1Qchn9SuuFBZYjb5j9fEgQ7Ol1w&oe=6891126C","N/A"
"Scooter","$75","Los Angeles","CA","1134509011864178","https://www.facebook.com/marketplace/item/1134509011864178","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/521077849_1256527602641054_5869068553508070094_n.jpg?stp=c0.151.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=2pmWL-qlpLcQ7kNvwE14jVj&_nc_oc=AdmwFRA9AR4G3m-5G2MY9BvP4QKCNTlOkDHq9jjBe_4F17cPw2qVtOWkKFqkFLlrCqxLuJjO7iZO7GYUjCawA_42&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfS-grwjgG12E8tcALUAb4vaApj9XiEHxEJ8nry6FYdwGg&oe=689115B7","N/A"
"Electric Scooter JHY-03PRO","$80","Chula Vista","CA","1088270579932668","https://www.facebook.com/marketplace/item/1088270579932668","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/525065829_689817897425994_2125437519226162952_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=cVhIrc79Vj8Q7kNvwGuYAUq&_nc_oc=Adlhy9gdk1_fyPyeAn4zNI7elMzNrFqVQzTfbrc6ooQw3lINgJIB4hLz4tHnsO3SC-J1fU6bbYKwUzg09fP81zsi&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfQ_fEq_YSRv7TTpOWqARxdL2jyAgaaLdlFVKNlRXCmkgA&oe=6891044D","N/A"
"Two Bicycles And Two Scooter","$40","El Cajon","CA","736616899066476","https://www.facebook.com/marketplace/item/736616899066476","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/524744961_4082997455361783_5339566288674452388_n.jpg?stp=c40.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=5BoknJeupcAQ7kNvwGpG5rz&_nc_oc=AdnMAYKPuLsehUBXukjgghyZOAxuWIYI6TyV62y8LZ9bS__nIvpV565GWM6krj3bcRmrlGxBDoYTtEcQh4KMth3J&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfSX948NjMQb6WRVf7UUDKaK-JeTNUvmlvBR4w6-E1Lj0w&oe=68912186","N/A"
"Pro scooter","$80","San Diego","CA","1838904543389428","https://www.facebook.com/marketplace/item/1838904543389428","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/524930706_1420310392509866_7964791396405158963_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=mZh1_ox01McQ7kNvwHDEGVy&_nc_oc=AdmjtnEMubmvqIrmiZ4TH4lP8GYuTfJSRTR06Ou23wdvwOBrmkuIhpC6aBDmTMw_nnKnVB3sNj5R0PP2hyJrSEam&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfQWL9NSw54YAQRKHQOpJcn3waLzZMEKlzdH2an2LEmq6Q&oe=68910D73","N/A"
"Ninebot S4 Electric Scooter (For Parts)","$80","Chula Vista","CA","2540307616306998","https://www.facebook.com/marketplace/item/2540307616306998","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/503449056_753735987121266_7058587624027098648_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=oj_YDDHhcmcQ7kNvwF_Ay5c&_nc_oc=Adk4pkpXUUsIqAVrXGebvTQJWGSray6CRrVqMUCMQcJwdOry_UYpulaiSfSYkRrwMGPNhGUR6WHg2_v6Oltwek8M&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfTl9joN9MztfDYvXdfkkcDCAevE5Y0DpMplGBVwCqG-3A&oe=68910B51","N/A"
